a,b
320, -1.3888963486820103
321, 0.05821027657657396
322, 5.89846434070796
323, 5.849397096529174
324, 2.3790304337499038
325, -0.1801225281533334
326, -2.369222530935531
327, -6.734761093020097
328, -12.299679707565701
329, -3.667666395651395
330, 23.549925298785638
331, 45.76476802172965
332, 49.831219026054896
333, 39.54250494617054
334, 19.699061711222384
335, -2.675111769563955
336, -8.538195856364837
337, 0.8785298629795761
338, 15.657888939930672
339, 33.40002014987431
340, 45.67996194338821
341, 49.281891689497115
342, 43.13282539648708
343, 26.349889115459973
344, 7.131002749048093
345, 0.6552065082673835
346, 4.625768058206631
347, 8.88056013399546
348, 12.392248893038868
349, 19.884666167945397
350, 32.27300260936454
351, 39.989330180381785
352, 38.10377227260233
353, 33.20272196999258
354, 32.74331241758864
355, 33.79950097784422
356, 29.335575476635768
357, 20.56342313635332
358, 15.158371915474618
359, 13.871911226049178
360, 12.625983088884368
361, 10.152329521484262
362, 5.2019509188808115
363, -2.48902377261129
364, -8.30978070883748
365, -5.481190862125004
366, 4.977566094322356
367, 20.347936079205283
368, 39.59381271888333
369, 60.87173810344666
370, 82.82085760012887
371, 88.87182048356681
372, 73.47555153929807
373, 53.20042654838335
374, 39.46613986199327
375, 29.3677934749453
376, 18.633612225149136
377, 8.80675341981123
378, 5.396042373601176
379, 7.929446048960017
380, 14.059416666294055
381, 22.60228517838823
382, 34.29274556785185
383, 49.30556198182967
384, 59.011162877821334
385, 57.56652520624948
386, 46.89184615821887
387, 29.69981775820588
388, 9.826855395728217
389, -2.2005212700983066
390, -6.738812089301064
391, -8.346514580191524
392, -7.952629979697576
393, -7.367486294474475
394, -7.015267629622031
395, -0.9701777450154623
396, 14.895240548194579
397, 35.757939661455566
398, 52.34747510311445
399, 64.78710533164394
400, 73.40553442860619
401, 79.01689943609654
402, 85.20885350982098
403, 92.33524080149846
404, 99.63400457540092
405, 106.88874650505477
406, 113.32635237441946
407, 118.58409764669659
408, 129.15319863171044
409, 150.94265933356473
410, 179.86103719604125
411, 208.60776736120624
412, 236.13123690887187
413, 259.43017119748856
414, 278.01177532570364
415, 290.2301765717152
416, 296.3178719149664
417, 304.3479465487608
418, 317.07932175760743
419, 335.7994827781895
420, 361.3089302252233
421, 384.18357648436495
422, 393.0937908280366
423, 391.73547216349334
424, 388.37075919294057
425, 382.4707140388323
426, 370.6814504601989
427, 354.60560278404637
428, 349.77586825530943
429, 357.8967865168938
430, 346.02628665271277
431, 301.4680417280247
432, 251.81916061416496
433, 216.47134272518406
434, 188.10139964978453
435, 156.97670796307284
436, 129.35220618816174
437, 120.19506914924523
438, 123.99836371059519
439, 114.83799705916726
440, 91.41481566339735
441, 66.70198921840392
442, 43.4531032605496
443, 24.22394046311547
444, 6.508560114499232
445, -0.3961230474774311
446, 10.32160703568934
447, 31.229275939736453
448, 50.66010848163478
449, 67.27192876679055
450, 78.201759403717
451, 81.91550025267134
452, 73.02007867574002
453, 54.0991135540894
454, 46.37344007542015
455, 53.338329292230355
456, 67.40049869095674
457, 85.93466675653235
458, 103.2939456924164
459, 116.30964530320398
460, 119.69649846464881
461, 108.25370940606308
462, 87.66740415840968
463, 67.74959853700375
464, 50.810527417710546
465, 43.02630611246195
466, 41.3367085277423
467, 28.777556251352507
468, 5.259356707947063
469, -8.648276798879579
470, -9.992129826455766
471, -8.737072373825413
472, -8.634007876031774
473, -3.1288908908004487
474, 12.676461063783336
475, 23.98239219414063
476, 13.445978970207307
477, -6.487914158428339
478, -12.559338358970763
479, -8.144726623712359
480, -3.235621563942459
481, 3.5427353128939103
482, 21.30408556962766
483, 48.03887143817474
484, 57.030139295112804
485, 43.11188674738378
486, 34.84309990019938
487, 43.27780171496579
488, 45.86049105699658
489, 28.25094924470295
490, 12.872639476724544
491, 24.77835604453776
492, 49.84427030365123
493, 65.79217438935757
494, 74.1967981749176
495, 80.46215464574516
496, 81.47712537975849
497, 62.33494141469282
498, 25.606977625270247
499, 2.7625697217422385
500, -0.6407481998435287
501, 0.8345993033249215
502, 2.649405772760474
503, -0.021773686458345765
504, -9.864013133400022
505, -10.342186397514524
506, 12.129408402188346
507, 48.57752921410065
508, 83.5470280168729
509, 112.64523012680638
510, 127.32253187520746
511, 129.21480092258616
512, 123.9156050423112
513, 115.43192713502413
514, 120.6088594232242
515, 140.1126024830046
516, 162.98541761906927
517, 186.596258837204
518, 205.85343450053824
519, 219.2754640881908
520, 231.02574659970514
521, 243.04680473200597
522, 249.465095336172
523, 246.06274811247113
524, 239.85264673979236
525, 238.702505808757
526, 241.2474498505626
527, 245.14684612705014
528, 247.38554296740858
529, 240.4549030667522
530, 225.17175051437243
531, 205.94064680739984
532, 184.04956709103135
533, 164.4159244836169
534, 147.83013417405255
535, 134.47871748645957
536, 123.94226018421023
537, 108.67963093455501
538, 86.30236170417083
539, 66.40666770223515
540, 60.50371413499397
541, 68.4049345545659
542, 84.34155166227674
543, 100.33427135781767
544, 107.5386978749757
545, 109.96530376524652
546, 114.14193250442077
547, 115.04940656033341
548, 100.83796455762194
549, 77.9986347444351
550, 69.45497982082088
551, 73.53253842419417
552, 73.83857145805723
553, 69.79896320007447
554, 72.14696180580859
555, 81.1859427158629
556, 77.33127158657271
557, 56.33870310714656
558, 41.36139752839381
559, 41.02227767134127
560, 39.962764638750286
561, 29.97706219056363
562, 21.586978430600993
563, 24.867169186707088
564, 29.000354924167823
565, 24.6512751277005
566, 14.153641258516927
567, 1.058275611172121
568, -10.404127742132914
569, -12.869215564942806
570, -6.6753685593580485
571, 7.8059465327960424
572, 26.646047523599464
573, 32.30383870694595
574, 24.459141866678237
575, 10.718720242482505
576, -5.518690072936806
577, -7.486304085859501
578, 6.920936573262679
579, 23.652310250587107
580, 37.86960264960953
581, 37.41722971561512
582, 18.22344316940871
583, -0.7219293758626009
584, -9.903109051634601
585, -3.6610120225714127
586, 23.008516205487922
587, 48.35279593754467
588, 52.52024571452239
589, 40.698992186300984
590, 19.22820109559825
591, -3.0095907654381335
592, -11.944461233696984
593, -10.590774932314162
594, -3.69036886932372
595, 5.801503901224805
596, 8.69356912391595
597, 7.1274795484523565
598, 11.322814353322428
599, 21.407725754896546
600, 37.41639336854769
601, 56.35900626574903
602, 60.01636439751155
603, 47.17431545849831
604, 33.17878909056071
605, 22.0640514813349
606, 21.113282995171176
607, 31.274817916152188
608, 33.25721852638617
609, 20.67657506581145
610, 9.710314576859673
611, 7.502423973475288
612, 3.25452018290207
613, -8.74273637484248
614, -12.12527618510785
615, 5.347585343054561
616, 17.70727509344897
617, 0.20386177679938555
