a,b
320, 0.6603174526317162
321, -3.5007753334512017
322, -5.045715192225089
323, 0.06934208136999587
324, 13.766426344351657
325, 39.886424554781115
326, 71.7509538252466
327, 88.74946756542795
328, 90.02780760478026
329, 87.10236481623497
330, 82.87854183753416
331, 77.59424199966452
332, 71.38000929599366
333, 67.75748419887896
334, 71.18340264381868
335, 77.09412297312792
336, 72.87261900227031
337, 60.66338786458937
338, 58.26780524966807
339, 67.99948755428522
340, 75.60570149396926
341, 75.65298170124288
342, 69.26617996045206
343, 57.37084813857882
344, 41.849799792631075
345, 26.189200075610643
346, 13.033241415042994
347, 13.729510866327018
348, 27.335107455052366
349, 33.49401596421694
350, 27.769971191287368
351, 18.95182593340678
352, 11.56803814428713
353, 6.801349561041661
354, 6.6714966297622595
355, 12.038992899061668
356, 24.32902678465689
357, 40.703565059555785
358, 46.35972482727402
359, 39.75973605538411
360, 27.62287289562755
361, 12.092435269852558
362, -0.5877335275972655
363, -6.553600670760261
364, -6.026504515113174
365, 1.5643373290845375
366, 13.664487375169301
367, 20.84594314244714
368, 23.090663999495064
369, 23.5177224434633
370, 22.92877706634954
371, 25.906891398256448
372, 33.9321026980906
373, 35.811835969511776
374, 23.83164852062373
375, 6.820122546438597
376, -2.2399390904965912
377, -4.892325857828382
378, -5.602462346514585
379, -3.984453429432506
380, 4.5258091262553535
381, 20.298204388025624
382, 31.231259926034
383, 33.186120406568534
384, 29.670558184928268
385, 23.05966159821037
386, 13.945955671281354
387, 3.166509595117077
388, -6.955898835629796
389, -10.730044612962502
390, -8.396635382303884
391, -0.9876266439155188
392, 10.814595674777593
393, 10.791202939254617
394, -5.832622765018186
395, -20.514613534474393
396, -23.333273796365575
397, -18.511834566409107
398, -10.320630228221034
399, -0.8124598121989948
400, 4.249517481590374
401, 5.360222658912335
402, 3.8200816875701094
403, 0.9897546228235115
404, 9.825837518184471
405, 34.3682188662051
406, 71.5547327021709
407, 115.32718163435129
408, 154.633007664067
409, 179.41098245557987
410, 195.9585504148422
411, 215.51255544058904
412, 237.67862674850585
413, 260.4229962007789
414, 284.1647745426476
415, 312.63630363038055
416, 345.4880091629061
417, 367.1375737930948
418, 372.46294575186585
419, 374.1560632125511
420, 380.1082044750651
421, 390.0088771288979
422, 403.484807442017
423, 416.65798157398785
424, 420.91561802430397
425, 414.25763320783517
426, 389.88400299693467
427, 349.28499457223324
428, 309.98724586195294
429, 275.8021560165371
430, 247.48536164095913
431, 225.3005731544804
432, 204.93182675145636
433, 183.34641805726005
434, 162.0359972065212
435, 142.98298882450672
436, 126.25988828284562
437, 112.01582775006136
438, 98.23530363511554
439, 76.38958079490067
440, 47.01755591703932
441, 26.941743430914812
442, 16.6498053845271
443, 11.873392253249222
444, 10.910313093381774
445, 17.559708362496167
446, 35.12820181968664
447, 51.87390170895833
448, 55.347981356994296
449, 54.46496029149603
450, 68.77902383674518
451, 92.40125702559999
452, 100.59506276770753
453, 93.25728470467993
454, 85.90459483635959
455, 81.3242328809888
456, 77.36320018747892
457, 73.30633089909998
458, 69.04398661938012
459, 64.51461398074434
460, 57.70323267229969
461, 46.62706664270263
462, 29.76721546941735
463, 4.5026547701709205
464, -19.81007333227626
465, -19.772629128201515
466, -0.7957491495053546
467, 4.393096936433722
468, -5.943003362288891
469, -6.385881782536671
470, 8.124916656013284
471, 13.739692047895915
472, 0.8123074116674616
473, -12.176239333789908
474, -14.32507642469318
475, -13.216460640102923
476, -17.188856322341962
477, -18.843236753459223
478, -3.361205269860875
479, 24.767143611427855
480, 45.85288270342926
481, 58.632450381983745
482, 64.01199315680014
483, 63.08483056367186
484, 64.86233889246841
485, 71.11306202183596
486, 72.74247057675348
487, 66.22037132744708
488, 57.90292049550908
489, 51.831201878978845
490, 39.908596836515244
491, 13.554844840692567
492, -12.819546708095459
493, -15.498445284058562
494, -2.3451777682125794
495, 5.948454117674828
496, 9.812881765550628
497, 12.395803627485293
498, 13.165743779511558
499, 5.0551061339037915
500, -11.24042832701798
501, -15.163693889071965
502, -0.43290374172829615
503, 19.984932555350497
504, 40.95992015280444
505, 61.806775338144234
506, 76.26485246838047
507, 92.22986986494243
508, 119.67847205621683
509, 158.1553738452053
510, 206.69947983336397
511, 261.68647176241575
512, 312.31323529209794
513, 358.3314459464259
514, 401.9687869246418
515, 442.8833179086714
516, 476.3839952046292
517, 500.99629080747627
518, 509.79039036685845
519, 500.67975977286187
520, 477.12429712052335
521, 440.83722102131196
522, 401.9361966032561
523, 367.6868552176775
524, 336.49639717819855
525, 306.5778695127892
526, 277.1047374605032
527, 246.6686897060972
528, 215.99062702631045
529, 186.9494268125177
530, 160.03826987426692
531, 136.75508032589687
532, 115.93296222797335
