a,b
320, 38.81804522491802
321, 86.78253696221236
322, 122.69448822112327
323, 132.03145404083443
324, 128.15422973632303
325, 134.51715387327022
326, 150.24219820923008
327, 170.2634681068521
328, 193.83320790046582
329, 218.571741541964
330, 243.60921726033712
331, 256.1114290390433
332, 249.03590085166752
333, 237.41862777165943
334, 240.28808817316803
335, 253.16160525228906
336, 263.50990034612414
337, 269.65066465455675
338, 265.6487039450094
339, 250.83164642020165
340, 231.8371394550636
341, 211.20412454787083
342, 192.0772255719139
343, 177.04390563777997
344, 164.13075230458162
345, 149.68385004875518
346, 133.81150001887272
347, 117.25440222359475
348, 100.2902310637719
349, 84.81769294040168
350, 71.3364462403847
351, 61.15437264783759
352, 54.945358431153636
353, 46.527417917088314
354, 28.901289191217984
355, 8.046359824146748
356, -0.869084437310903
357, 0.5753398977453799
358, 5.912523320713262
359, 14.491063544345252
360, 22.26053568945781
361, 28.153276078846375
362, 31.722911416399256
363, 32.688990234752055
364, 30.499773114224354
365, 24.399935602250025
366, 15.638652348419782
367, 7.717554569661388
368, 1.1751893486607514
369, -1.9284647658873837
370, -1.3467133782246492
371, 6.749135400025807
372, 23.67811577464272
373, 36.18757827221452
374, 35.14318116067352
375, 23.560344828365942
376, 5.87337226810223
377, -12.534999418285224
378, -17.298167890291097
379, -10.007849234058995
380, -2.6613067284861245
381, 3.509114644753936
382, 11.337557930758521
383, 21.68034925117945
384, 31.423530532845234
385, 38.45866235818585
386, 44.38384900393248
387, 51.45675689406016
388, 55.98457840015044
389, 47.73855187785648
390, 28.217867116793514
391, 8.940107627668112
392, -7.9030862825802615
393, -17.37060357524797
394, -18.625229638161272
395, -9.877073404458315
396, 10.928095178876447
397, 34.904870649241275
398, 47.65274065544918
399, 51.96828917775201
400, 54.46368484883669
401, 55.28900373077431
402, 53.89359742949273
403, 51.658920282278814
404, 67.73812862364821
405, 100.19087625980274
406, 140.08974010319798
407, 183.20654491210735
408, 231.7992179075859
409, 287.92316756061473
410, 342.72341962053724
411, 380.3996022273268
412, 405.1925087705931
413, 432.1455639677929
